VAR	TIER	TOTAL_FILES	TOTAL_REFS	TOP_FILES
DETERMINATOR_NEXT_URL	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
DETERMINATOR_PASS	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
DETERMINATOR_USER	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
DEV_LOGIN_SECRET	t1	1	1	C:/aoe-unified-final/gateway.js
DISABLE_HMR	t3	1	1	C:/aoe-unified-final/frontend/vite.config.ts
ECONOMY_DB_URL	t1	3	3	C:/aoe-unified-final/scripts/seed-sample-leads.js|C:/aoe-unified-final/server.js|C:/aoe-unified-final/scripts/seed-dashboard-data.js
EMOTIV_CLIENT_ID	t3	1	2	C:/aoe-unified-final/lib/neurolink/adapters.js
EMOTIV_CLIENT_SECRET	t1	1	1	C:/aoe-unified-final/lib/neurolink/adapters.js
ENABLE_ECONOMY	t3	1	1	C:/aoe-unified-final/api/index.js
FROM_EMAIL	t3	1	1	C:/aoe-unified-final/scripts/sendEmails.js
FRONTEND_URL	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
GATEWAY_LISTEN_HOST	t3	1	1	C:/aoe-unified-final/gateway.js
GATEWAY_PORT	t3	1	1	C:/aoe-unified-final/gateway.js
GEMINI_API_KEY	t1	1	1	C:/aoe-unified-final/frontend/vite.config.ts
GH_TOKEN	t1	1	1	C:/aoe-unified-final/supaclaw-github.js
GITHUB_CLIENT_ID	t3	2	2	C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/brain.js
GITHUB_CLIENT_SECRET	t1	1	1	C:/aoe-unified-final/brain.js
GITHUB_TOKEN	t1	1	1	C:/aoe-unified-final/supaclaw-github.js
GMAIL_APP_PASS	t1	1	1	C:/aoe-unified-final/lib/mail.js
GMAIL_USER	t3	1	2	C:/aoe-unified-final/lib/mail.js
GOOGLE_CLIENT_ID	t3	3	3	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js|C:/aoe-unified-final/gateway.js|C:/aoe-unified-final/brain.js
GOOGLE_CLIENT_SECRET	t1	2	2	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js|C:/aoe-unified-final/brain.js
GOOGLE_HD	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
GOOGLE_REDIRECT_URI	t3	1	1	E:/BridgeAI/BridgeLiveWall/scripts/determinator-boot-agent.js
HEALTH_INTERVAL	t3	1	1	C:/aoe-unified-final/ops-daemon/index.js
